Name;OBJECTID;1911;1912;1913;1914;1915;1916;1917;1918;1919
Bruderholz;1;;;;;;;;;
Gundelingen;2;0;0;1;0;4;2;4;79;10
Alban;3;1;0;1;0;2;0;2;18;2
Breite;4;2;0;1;0;0;0;0;31;8
Bachletten;5;0;1;1;0;2;1;0;16;8
Vorstaedte;6;2;0;1;1;1;3;3;38;8
Zentrum Grossbasel/ Altstadt;7;2;0;0;0;2;0;3;40;8
Guertel/Am Ring;8;0;1;1;2;3;3;8;67;9
Gotthelf;9;1;0;1;1;0;2;0;32;6
Hegenheim/Iselin;10;2;1;1;0;3;0;2;36;7
St.Johann;11;4;1;6;1;2;5;6;67;8
Zentrum Kleinbasel;12;0;0;1;1;1;1;1;36;3
Clara;13;1;0;0;1;2;0;1;27;8
Grenzach/Wettstein;14;1;0;0;1;0;1;0;11;2
Hinter d. Bad. Bahnhof/Hirzbrunnen;15;0;0;0;0;0;0;0;2;0
Kleinhueningen;16;0;1;0;0;0;0;0;7;1
Klybeck;17;0;0;0;0;1;1;0;36;3
Rosenthal;18;0;0;2;0;0;0;0;18;5
Matthaeus;19;3;0;4;1;4;2;4;93;18
Riehen;20;0;0;0;0;0;1;0;14;0
Bettingen;21;0;0;0;0;0;0;1;1;0
